t_start,t_end,t_l
1745205676.1637356,1745205680.166186,4.002450332
1745205785.4852571,1745205789.4896386,4.004381562
1745205985.6937778,1745205989.6983356,4.004557796
1745206077.278894,1745206081.2829638,4.004069905000001
1745206092.6141534,1745206096.6184843,4.004331003
1745206134.5002701,1745206138.5029643,4.002694104000001
